№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
592;Михайловка ;Волгоградская область ;Южный ;59153;1762
28;Анапа ;Краснодарский край ;Южный ;58983;1781
958;Тихвин ;Ленинградская область ;Северо-Западный ;58843;1383
154;Верхняя Пышма ;Свердловская область ;Уральский ;58707;1854
840;Свободный ;Амурская область ;Дальневосточный ;58594;1912
331;Ивантеевка ;Московская область ;Центральный ;58594;1564
1082;Шуя ;Ивановская область ;Центральный ;58528;1394
425;Когалым ;Ханты-Мансийский АО — Югра ;Уральский ;58192;1975
1083;Щёкино ;Тульская область ;Центральный ;58154;1870
292;Жигулёвск ;Самарская область ;Приволжский ;57565;1949
483;Крымск ;Краснодарский край ;Южный ;57370;1862
196;Вязьма ;Смоленская область ;Центральный ;57103;1239
161;Видное ;Московская область ;Центральный ;56798;1949
44;Арсеньев ;Приморский край ;Дальневосточный ;56742;1902
335;Избербаш ;Дагестан ;Северо-Кавказский ;56301;1932
189;Выкса ;Нижегородская область ;Приволжский ;56196;1757
532;Лиски ;Воронежская область ;Центральный ;55864;16 век
172;Волжск ;Марий Эл ;Приволжский ;55671;16 век
469;Краснокаменск ;Забайкальский край ;Сибирский ;55668;1967
1020;Фрязино ;Московская область ;Центральный ;55449;1584
991;Узловая ;Тульская область ;Центральный ;55282;1873
543;Лыткарино ;Московская область ;Центральный ;55147;15 век
691;Нягань ;Ханты-Мансийский АО — Югра ;Уральский ;54903;1965
804;Рославль ;Смоленская область ;Центральный ;54898;1137
207;Геленджик ;Краснодарский край ;Южный ;54813;1831
127;Боровичи ;Новгородская область ;Северо-Западный ;54731;15 век
957;Тимашёвск ;Краснодарский край ;Южный ;53921;1794
91;Белореченск ;Краснодарский край ;Южный ;53891;1862
886;Солнечногорск ;Московская область ;Центральный ;52996;18 век
617;Назарово ;Красноярский край ;Сибирский ;52829;1700
408;Кириши ;Ленинградская область ;Северо-Западный ;52826;1693
1047;Черемхово ;Иркутская область ;Сибирский ;52650;1772
470;Краснокамск ;Пермский край ;Приволжский ;52632;1929
525;Лесной ;Свердловская область ;Уральский ;52464;1947
193;Вышний Волочёк ;Тверская область ;Центральный ;52326;1471
134;Бугуруслан ;Оренбургская область ;Приволжский ;52249;1748
98;Берёзовский ;Свердловская область ;Уральский ;51583;1748
67;Балахна ;Нижегородская область ;Приволжский ;51526;1399
528;Ливны ;Орловская область ;Центральный ;50430;1586
262;Донецк ;Ростовская область ;Южный ;50085;1681
846;Североморск ;Мурманская область ;Северо-Западный ;50076;1896
833;Саяногорск ;Хакасия ;Сибирский ;49889;1975
400;Кимры ;Тверская область ;Центральный ;49623;1546
571;Мегион ;Ханты-Мансийский АО — Югра ;Уральский ;49471;1810
398;Кизляр ;Дагестан ;Северо-Кавказский ;49169;1735
998;Урус-Мартан ;Чечня ;Северо-Кавказский ;49071;18 век
875;Снежинск ;Челябинская область ;Уральский ;48896;1957
401;Кингисепп ;Ленинградская область ;Северо-Западный ;48667;1384
498;Курганинск ;Краснодарский край ;Южный ;47974;1855
1074;Шелехов ;Иркутская область ;Сибирский ;47960;1953
598;Можга ;Удмуртия ;Приволжский ;47959;1835
862;Сертолово ;Ленинградская область ;Северо-Западный ;47854;1936
1112;Ярцево ;Смоленская область ;Центральный ;47853;1610
1066;Шали ;Чечня ;Северо-Кавказский ;47715;1378 или 1384
724;Отрадный ;Самарская область ;Приволжский ;47709;1920-е
967;Торжок ;Тверская область ;Центральный ;47702;9-10 века
813;Рузаевка ;Мордовия ;Приволжский ;47529;1631
178;Волхов ;Ленинградская область ;Северо-Западный ;47344;1918
97;Берёзовский ;Кемеровская область ;Сибирский ;47292;1965
491;Куйбышев ;Новосибирская область ;Сибирский ;47278;1722
250;Дзержинский ;Московская область ;Центральный ;47125;1380-е
312;Заринск ;Алтайский край ;Сибирский ;47035;1979
223;Грязи ;Липецкая область ;Центральный ;46798;1868
1062;Чусовой ;Пермский край ;Приволжский ;46740;1878
616;Надым ;Ямало-Ненецкий АО ;Уральский ;46550;1597
155;Верхняя Салда ;Свердловская область ;Уральский ;46240;1778
832;Сафоново ;Смоленская область ;Центральный ;46116;1859
718;Осинники ;Кемеровская область ;Сибирский ;45997;1926
434;Кольчугино ;Владимирская область ;Центральный ;45804;1871
228;Гудермес ;Чечня ;Северо-Кавказский ;45643;19 век
371;Канаш ;Чувашия ;Приволжский ;45608;1892
798;Рассказово ;Тамбовская область ;Центральный ;45484;1698
831;Сатка ;Челябинская область ;Уральский ;45465;1758
600;Мончегорск ;Мурманская область ;Северо-Западный ;45381;1937
1008;Усть-Кут ;Иркутская область ;Сибирский ;45061;1631
977;Тулун ;Иркутская область ;Сибирский ;44603;1735
1073;Шебекино ;Белгородская область ;Центральный ;44277;1713
902;Спасск-Дальний ;Приморский край ;Дальневосточный ;44166;1886
78;Белая Калитва ;Ростовская область ;Южный ;43688;1703
749;Печора ;Коми ;Северо-Западный ;43458;1940
1041;Чебаркуль ;Челябинская область ;Уральский ;43405;1736
795;Радужный ;Ханты-Мансийский АО — Югра ;Уральский ;43394;1973
1009;Усть-Лабинск ;Краснодарский край ;Южный ;43268;1794
609;Мценск ;Орловская область ;Центральный ;43216;1146
610;Мыски ;Кемеровская область ;Сибирский ;43029;1826
26;Амурск ;Хабаровский край ;Дальневосточный ;42977;1958
505;Курчатов ;Курская область ;Центральный ;42691;1968
389;Качканар ;Свердловская область ;Уральский ;42563;1957
822;Салехард ;Ямало-Ненецкий АО ;Уральский ;42494;1595
286;Ефремов ;Тульская область ;Центральный ;42350;1637
915;Стрежевой ;Томская область ;Сибирский ;42216;1966
11;Аксай ;Ростовская область ;Южный ;41984;1957
739;Переславль-Залесский ;Ярославская область ;Центральный ;41923;1152
54;Ахтубинск ;Астраханская область ;Южный ;41898;1959
391;Кашира ;Московская область ;Центральный ;41880;1356
303;Заинск ;Татарстан ;Приволжский ;41798;1656
366;Камень-на-Оби ;Алтайский край ;Сибирский ;41787;1751
878;Советск ;Калининградская область ;Северо-Западный ;41709;1288
785;Пугачёв ;Саратовская область ;Приволжский ;41705;1764
517;Лангепас ;Ханты-Мансийский АО — Югра ;Уральский ;41675;1980
104;Бирск ;Башкортостан ;Приволжский ;41637;1663
999;Урюпинск ;Волгоградская область ;Южный ;41594;1618
602;Моршанск ;Тамбовская область ;Центральный ;41550;1623
792;Пыть-Ях ;Ханты-Мансийский АО — Югра ;Уральский ;41453;1968
438;Конаково ;Тверская область ;Центральный ;41303;1806
809;Ртищево ;Саратовская область ;Приволжский ;41295;1666
195;Вязники ;Владимирская область ;Центральный ;41252;1608
444;Кореновск ;Краснодарский край ;Южный ;41179;1794
1000;Усинск ;Коми ;Северо-Западный ;41100;1966
980;Тутаев ;Ярославская область ;Центральный ;41001;13 век
479;Красный Сулин ;Ростовская область ;Южный ;40866;1797
834;Саянск ;Иркутская область ;Сибирский ;40786;1970
661;Новодвинск ;Архангельская область ;Северо-Западный ;40612;1936
662;Новозыбков ;Брянская область ;Центральный ;40552;1701
548;Людиново ;Калужская область ;Центральный ;40550;1626
336;Изобильный ;Ставропольский край ;Северо-Кавказский ;40546;1895
566;Мариинск ;Кемеровская область ;Сибирский ;40522;1698
1055;Черняховск ;Калининградская область ;Северо-Западный ;40464;1336
301;Заволжье ;Нижегородская область ;Приволжский ;40265;1950
35;Апшеронск ;Краснодарский край ;Южный ;40229;1863
476;Красноуфимск ;Свердловская область ;Уральский ;39765;1736
449;Коряжма ;Архангельская область ;Северо-Западный ;39629;1535
362;Каменка ;Пензенская область ;Приволжский ;39579;18 век
278;Елизово ;Камчатский край ;Дальневосточный ;39548;1848
1019;Фролово ;Волгоградская область ;Южный ;39489;1859
995;Урай ;Ханты-Мансийский АО — Югра ;Уральский ;39435;1922
123;Большой Камень ;Приморский край ;Дальневосточный ;39257;1947
969;Тосно ;Ленинградская область ;Северо-Западный ;39127;1500
20;Алексеевка ;Белгородская область ;Центральный ;39026;1685
445;Коркино ;Челябинская область ;Уральский ;38950;1795
509;Кыштым ;Челябинская область ;Уральский ;38950;1757
549;Лянтор ;Ханты-Мансийский АО — Югра ;Уральский ;38922;1932
599;Моздок ;Северная Осетия — Алания ;Северо-Кавказский ;38748;1763
800;Реж ;Свердловская область ;Уральский ;38709;1773
732;Партизанск ;Приморский край ;Дальневосточный ;38648;1896
248;Джанкой ;Крым ;Южный ;38622;1784
1067;Шарыпово ;Красноярский край ;Сибирский ;38570;18 век
836;Светлоград ;Ставропольский край ;Северо-Кавказский ;38520;1786
883;Сокол ;Вологодская область ;Северо-Западный ;38454;1615
343;Ирбит ;Свердловская область ;Уральский ;38352;1631
202;Гай ;Оренбургская область ;Приволжский ;38302;1959
14;Алатырь ;Чувашия ;Приволжский ;38202;1552
13;Алапаевск ;Свердловская область ;Уральский ;38198;1639
954;Темрюк ;Краснодарский край ;Южный ;38014;1860
1098;Южноуральск ;Челябинская область ;Уральский ;37890;1948
1013;Учалы ;Башкортостан ;Приволжский ;37771;1955
165;Вичуга ;Ивановская область ;Центральный ;37609;1925
239;Дальнегорск ;Приморский край ;Дальневосточный ;37503;1897
782;Протвино ;Московская область ;Центральный ;37308;1960
589;Мирный ;Якутия ;Дальневосточный ;37179;1955
643;Нижнеудинск ;Иркутская область ;Сибирский ;37056;1648
526;Лесозаводск ;Приморский край ;Дальневосточный ;36975;1932
64;Баксан ;Кабардино-Балкария ;Северо-Кавказский ;36857;1891
99;Беслан ;Северная Осетия — Алания ;Северо-Кавказский ;36724;1847
1107;Ялуторовск ;Тюменская область ;Уральский ;36494;1659
585;Миллерово ;Ростовская область ;Южный ;36493;1786
537;Луга ;Ленинградская область ;Северо-Западный ;36409;1777
397;Кизилюрт ;Дагестан ;Северо-Кавказский ;36187;1963
1021;Фурманов ;Ивановская область ;Центральный ;36149;1918
468;Краснознаменск ;Московская область ;Центральный ;36057;1952
319;Зеленокумск ;Ставропольский край ;Северо-Кавказский ;35790;1781
493;Кулебаки ;Нижегородская область ;Приволжский ;35762;1677-1678
258;Добрянка ;Пермский край ;Приволжский ;35720;1623
372;Кандалакша ;Мурманская область ;Северо-Западный ;35659;11 век
981;Тында ;Амурская область ;Дальневосточный ;35574;1907
941;Тайшет ;Иркутская область ;Сибирский ;35481;1897
938;Тавда ;Свердловская область ;Уральский ;35421;1910
859;Сердобск ;Пензенская область ;Приволжский ;35393;1698
